High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.080 | Y stddev: 0.145
High noise detected! X stddev: 0.081 | Y stddev: 0.144
High noise detected! X stddev: 0.080 | Y stddev: 0.145
High noise detected! X stddev: 0.081 | Y stddev: 0.145
High noise detected! X stddev: 0.080 | Y stddev: 0.147
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.079 | Y stddev: 0.145
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.080 | Y stddev: 0.145
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.079 | Y stddev: 0.146
High noise detected! X stddev: 0.081 | Y stddev: 0.144
High noise detected! X stddev: 0.080 | Y stddev: 0.147
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.079 | Y stddev: 0.145
High noise detected! X stddev: 0.082 | Y stddev: 0.143
High noise detected! X stddev: 0.080 | Y stddev: 0.146
High noise detected! X stddev: 0.081 | Y stddev: 0.145
High noise detected! X stddev: 0.079 | Y stddev: 0.146
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.080 | Y stddev: 0.146
High noise detected! X stddev: 0.084 | Y stddev: 0.144
High noise detected! X stddev: 0.079 | Y stddev: 0.146
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.080 | Y stddev: 0.146
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.080 | Y stddev: 0.143
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.079 | Y stddev: 0.146
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.079 | Y stddev: 0.146
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.079 | Y stddev: 0.145
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.080 | Y stddev: 0.146
High noise detected! X stddev: 0.081 | Y stddev: 0.144
High noise detected! X stddev: 0.079 | Y stddev: 0.145
High noise detected! X stddev: 0.082 | Y stddev: 0.145
High noise detected! X stddev: 0.079 | Y stddev: 0.146
High noise detected! X stddev: 0.081 | Y stddev: 0.144
High noise detected! X stddev: 0.080 | Y stddev: 0.146
High noise detected! X stddev: 0.083 | Y stddev: 0.144
High noise detected! X stddev: 0.080 | Y stddev: 0.147
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.080 | Y stddev: 0.146
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.079 | Y stddev: 0.146
High noise detected! X stddev: 0.083 | Y stddev: 0.144
High noise detected! X stddev: 0.080 | Y stddev: 0.145
High noise detected! X stddev: 0.083 | Y stddev: 0.143
High noise detected! X stddev: 0.079 | Y stddev: 0.146
High noise detected! X stddev: 0.082 | Y stddev: 0.144
High noise detected! X stddev: 0.079 | Y stddev: 0.146
High noise detected! X stddev: 0.269 | Y stddev: 0.070
Raw X readings: 2.329 2.320 2.319 2.319 2.319 2.320 2.318 2.314 2.316 2.317 2.314 2.315 2.318 2.314 2.314 2.314 2.310  || Raw Y readings: 0.911 0.910 0.904 0.907 0.907 0.908 0.911 0.910 0.911 0.911 0.910 0.911 0.911 0.911 0.911 0.912 0.914 
Raw X readings: 2.313 2.308 2.309 2.308 2.309 2.309 2.306 2.303 2.306 2.305 2.286 2.302 2.306 2.307 2.302 2.299 2.286  || Raw Y readings: 0.874 0.883 0.882 0.881 0.878 0.876 0.881 0.878 0.882 0.879 0.878 0.875 0.880 0.878 0.878 0.878 0.876 
Raw X readings: 2.248 2.250 2.251 2.251 2.248 2.249 2.249 2.248 2.248 2.247 2.256 2.250 2.248 2.235 2.249 2.248 2.251  || Raw Y readings: 0.868 0.861 0.866 0.860 0.866 0.865 0.865 0.864 0.864 0.878 0.865 0.865 0.864 0.865 0.865 0.865 0.878 
Raw X readings: 2.245 2.244 2.248 2.248 2.247 2.245 2.247 2.244 2.267 2.245 2.242 2.244 2.245 2.247 2.246 2.239 2.245  || Raw Y readings: 0.863 0.864 0.862 0.864 0.862 0.865 0.864 0.865 0.864 0.867 0.863 0.870 0.864 0.864 0.868 0.857 0.863 
Raw X readings: 2.246 2.243 2.248 2.245 2.247 2.233 2.244 2.245 2.244 2.246 2.247 2.245 2.244 2.232 2.246 2.245 2.246  || Raw Y readings: 0.865 0.865 0.881 0.864 0.861 0.872 0.868 0.867 0.868 0.865 0.865 0.865 0.862 0.865 0.865 0.866 0.867 
Raw X readings: 2.301 2.303 2.304 2.306 2.310 2.310 2.316 2.317 2.315 2.314 2.312 2.312 2.312 2.314 2.310 2.314 2.310  || Raw Y readings: 0.940 0.956 0.947 0.961 0.962 0.978 0.968 0.975 0.990 0.969 0.968 0.977 0.978 0.993 1.005 0.995 1.019 
High noise detected! X stddev: 0.078 | Y stddev: 0.145
High noise detected! X stddev: 0.083 | Y stddev: 0.145
Raw X readings: 2.326 2.318 2.316 2.318 2.316 2.314 2.306 2.312 2.312 2.306 2.302 2.302 2.298 2.295 2.293 2.291 2.285  || Raw Y readings: 0.874 0.873 0.873 0.874 0.873 0.874 0.870 0.870 0.875 0.869 0.868 0.877 0.870 0.871 0.864 0.870 0.869 
Raw X readings: 2.229 2.231 2.230 2.229 2.232 2.231 2.231 2.231 2.230 2.230 2.231 2.231 2.231 2.231 2.232 2.231 2.231  || Raw Y readings: 0.867 0.872 0.874 0.873 0.878 0.873 0.865 0.872 0.871 0.874 0.874 0.872 0.872 0.874 0.875 0.872 0.877 
Raw X readings: 2.227 2.222 2.227 2.223 2.227 2.229 2.228 2.231 2.228 2.227 2.227 2.228 2.228 2.227 2.228 2.231 2.227  || Raw Y readings: 0.878 0.883 0.876 0.880 0.880 0.876 0.875 0.875 0.874 0.881 0.875 0.882 0.878 0.881 0.879 0.882 0.881 
Raw X readings: 2.224 2.223 2.220 2.225 2.228 2.225 2.225 2.225 2.223 2.223 2.225 2.223 2.223 2.225 2.224 2.224 2.225  || Raw Y readings: 0.889 0.894 0.886 0.891 0.897 0.891 0.891 0.891 0.892 0.892 0.887 0.891 0.893 0.892 0.893 0.890 0.915 
Raw X readings: 2.231 2.225 2.219 2.219 2.226 2.223 2.224 2.221 2.221 2.209 2.222 2.222 2.220 2.220 2.223 2.222 2.223  || Raw Y readings: 0.890 0.894 0.896 0.895 0.895 0.896 0.889 0.897 0.898 0.900 0.898 0.897 0.891 0.896 0.898 0.897 0.901 
Raw X readings: 2.219 2.217 2.224 2.225 2.219 2.211 2.217 2.217 2.223 2.215 2.219 2.216 2.216 2.215 2.217 2.220 2.215  || Raw Y readings: 0.904 0.903 0.905 0.909 0.923 0.907 0.906 0.903 0.907 0.903 0.904 0.907 0.907 0.902 0.904 0.905 0.907 
Raw X readings: 2.215 2.208 2.210 2.213 2.211 2.210 2.215 2.210 2.206 2.206 2.210 2.209 2.209 2.210 2.209 2.209 2.208  || Raw Y readings: 0.916 0.913 0.919 0.917 0.915 0.914 0.915 0.913 0.903 0.908 0.914 0.942 0.911 0.915 0.933 0.917 0.917 
Raw X readings: 2.203 2.207 2.205 2.206 2.210 2.181 2.201 2.206 2.222 2.204 2.206 2.204 2.206 2.206 2.205 2.201 2.206  || Raw Y readings: 0.922 0.920 0.920 0.921 0.921 0.924 0.924 0.923 0.915 0.919 0.920 0.924 0.925 0.922 0.928 0.921 0.920 
Raw X readings: 2.201 2.201 2.202 2.202 2.203 2.201 2.199 2.199 2.197 2.201 2.202 2.200 2.201 2.201 2.190 2.200 2.202  || Raw Y readings: 0.930 0.915 0.931 0.931 0.933 0.932 0.932 0.936 0.930 0.926 0.931 0.939 0.933 0.931 0.928 0.930 0.932 
Raw X readings: 2.192 2.190 2.193 2.194 2.180 2.193 2.194 2.194 2.194 2.193 2.185 2.193 2.196 2.194 2.181 2.194 2.194  || Raw Y readings: 0.942 0.948 0.946 0.942 0.946 0.948 0.944 0.949 0.949 0.943 0.945 0.947 0.950 0.946 0.950 0.947 0.948 
Raw X readings: 2.189 2.187 2.189 2.189 2.186 2.189 2.188 2.187 2.189 2.188 2.185 2.185 2.186 2.189 2.196 2.188 2.188  || Raw Y readings: 0.955 0.951 0.955 0.955 0.953 0.943 0.954 0.953 0.953 0.952 0.954 0.952 0.951 0.928 0.953 0.953 0.954 
Raw X readings: 2.185 2.178 2.182 2.185 2.185 2.185 2.180 2.182 2.185 2.183 2.164 2.181 2.183 2.182 2.187 2.184 2.185  || Raw Y readings: 0.971 0.967 0.964 0.965 0.963 0.967 0.965 0.965 0.965 0.961 0.954 0.964 0.963 0.958 0.962 0.965 0.978 
Raw X readings: 2.174 2.175 2.161 2.176 2.174 2.177 2.177 2.176 2.176 2.175 2.177 2.202 2.164 2.176 2.173 2.178 2.174  || Raw Y readings: 0.977 0.972 0.976 0.978 0.977 0.980 0.979 0.977 0.978 0.977 0.978 0.973 0.974 0.975 0.977 0.979 0.975 
Raw X readings: 2.167 2.165 2.165 2.162 2.165 2.162 2.169 2.165 2.165 2.165 2.165 2.164 2.173 2.164 2.163 2.171 2.169  || Raw Y readings: 0.985 0.984 0.975 0.981 0.982 0.982 0.983 0.979 0.982 0.982 0.984 0.982 0.988 0.987 0.983 0.983 0.986 
Raw X readings: 2.156 2.158 2.159 2.158 2.161 2.158 2.161 2.159 2.161 2.161 2.156 2.165 2.157 2.158 2.142 2.156 2.158  || Raw Y readings: 0.993 0.991 0.994 0.994 0.992 0.991 0.992 0.990 0.993 0.993 0.990 0.990 0.991 0.990 0.994 0.993 0.994 
Raw X readings: 2.148 2.147 2.148 2.142 2.150 2.150 2.155 2.148 2.148 2.148 2.151 2.148 2.150 2.148 2.150 2.152 2.153  || Raw Y readings: 1.016 1.015 1.022 1.016 1.017 1.019 1.023 1.018 1.014 1.014 1.015 1.019 1.008 1.012 1.011 1.010 1.013 
Raw X readings: 2.132 2.138 2.141 2.141 2.140 2.140 2.133 2.138 2.150 2.141 2.139 2.139 2.138 2.139 2.132 2.138 2.137  || Raw Y readings: 1.011 1.011 1.011 1.012 1.015 1.012 1.015 1.011 1.013 1.010 1.014 1.010 1.011 1.015 1.012 1.015 1.014 
Raw X readings: 2.131 2.129 2.132 2.132 2.135 2.132 2.131 2.131 2.129 2.132 2.127 2.132 2.130 2.125 2.135 2.130 2.132  || Raw Y readings: 1.011 1.027 1.024 1.027 1.026 1.026 1.014 1.023 1.024 1.007 1.024 1.023 1.024 1.024 1.025 1.027 1.029 
Raw X readings: 2.316 2.299 2.323 2.330 2.294 2.285 2.258 2.245 2.247 2.245 2.240 2.235 2.235 2.225 2.226 2.210 2.206  || Raw Y readings: 1.054 1.043 1.051 1.052 1.053 1.049 1.049 1.047 1.049 1.049 1.052 1.049 1.051 1.052 1.056 1.053 1.050 
Raw X readings: 2.111 2.109 2.108 2.110 2.111 2.083 2.112 2.110 2.108 2.112 2.109 2.108 2.106 2.110 2.111 2.117 2.110  || Raw Y readings: 1.054 1.056 1.053 1.052 1.058 1.055 1.053 1.058 1.056 1.052 1.057 1.046 1.054 1.057 1.048 1.059 1.056 
Raw X readings: 2.098 2.094 2.100 2.100 2.100 2.104 2.101 2.099 2.100 2.098 2.100 2.098 2.099 2.098 2.107 2.099 2.098  || Raw Y readings: 1.060 1.068 1.059 1.060 1.061 1.060 1.062 1.056 1.061 1.061 1.066 1.065 1.066 1.066 1.075 1.077 1.079 
