Filtered X: 60.170 | Filtered Y: -40.202 || Velocity X: 0.000 | Velocity Y: 0.000
normal X: 60.170 | normal Y: -40.202 || Velocity X: 3008.520 | Velocity Y: -2010.096
Filtered X: 60.170 | Filtered Y: -40.358 || Velocity X: 0.000 | Velocity Y: -0.008
normal X: 60.170 | normal Y: -40.359 || Velocity X: 0.000 | Velocity Y: -7.862
Filtered X: 60.589 | Filtered Y: -38.861 || Velocity X: 5.602 | Velocity Y: 20.035
normal X: 60.939 | normal Y: -37.607 || Velocity X: 38.444 | Velocity Y: 137.585
Filtered X: 60.808 | Filtered Y: -38.925 || Velocity X: 8.179 | Velocity Y: 8.849
normal X: 60.939 | normal Y: -39.494 || Velocity X: 0.000 | Velocity Y: -94.345
Filtered X: 61.206 | Filtered Y: -39.748 || Velocity X: 14.806 | Velocity Y: -19.382
normal X: 61.516 | normal Y: -41.067 || Velocity X: 28.835 | Velocity Y: -78.621
Filtered X: 61.219 | Filtered Y: -41.010 || Velocity X: 6.468 | Velocity Y: -45.076
normal X: 60.843 | normal Y: -42.167 || Velocity X: -33.640 | Velocity Y: -55.035
Filtered X: 61.171 | Filtered Y: -42.328 || Velocity X: 1.227 | Velocity Y: -57.428
normal X: 60.939 | normal Y: -42.875 || Velocity X: 4.804 | Velocity Y: -35.379
Filtered X: 61.043 | Filtered Y: -43.454 || Velocity X: -3.320 | Velocity Y: -56.769
normal X: 60.843 | normal Y: -43.425 || Velocity X: -4.804 | Velocity Y: -27.518
Filtered X: 60.918 | Filtered Y: -44.082 || Velocity X: -5.040 | Velocity Y: -41.718
normal X: 60.843 | normal Y: -43.425 || Velocity X: 0.000 | Velocity Y: 0.000
Filtered X: 60.703 | Filtered Y: -44.265 || Velocity X: -8.441 | Velocity Y: -22.411
normal X: 60.555 | normal Y: -43.425 || Velocity X: -14.417 | Velocity Y: 0.000
Filtered X: 60.669 | Filtered Y: -43.634 || Velocity X: -4.432 | Velocity Y: 9.564
normal X: 60.843 | normal Y: -42.246 || Velocity X: 14.417 | Velocity Y: 58.965
Filtered X: 60.569 | Filtered Y: -41.921 || Velocity X: -4.766 | Velocity Y: 54.648
normal X: 60.555 | normal Y: -39.966 || Velocity X: -14.417 | Velocity Y: 114.000
Filtered X: 60.088 | Filtered Y: -40.347 || Velocity X: -16.185 | Velocity Y: 68.884
normal X: 59.594 | normal Y: -39.730 || Velocity X: -48.056 | Velocity Y: 11.793
Filtered X: 59.184 | Filtered Y: -38.269 || Velocity X: -33.368 | Velocity Y: 89.614
normal X: 58.440 | normal Y: -37.372 || Velocity X: -57.667 | Velocity Y: 117.931
Filtered X: 58.273 | Filtered Y: -36.318 || Velocity X: -40.599 | Velocity Y: 94.327
normal X: 57.960 | normal Y: -36.114 || Velocity X: -24.027 | Velocity Y: 62.896
Filtered X: 56.458 | Filtered Y: -33.583 || Velocity X: -70.296 | Velocity Y: 119.427
normal X: 55.173 | normal Y: -32.497 || Velocity X: -139.363 | Velocity Y: 180.828
Filtered X: 54.599 | Filtered Y: -29.560 || Velocity X: -83.699 | Velocity Y: 167.831
normal X: 54.019 | normal Y: -27.465 || Velocity X: -57.668 | Velocity Y: 251.585
Filtered X: 51.172 | Filtered Y: -26.446 || Velocity X: -135.615 | Velocity Y: 160.635
normal X: 48.925 | normal Y: -26.758 || Velocity X: -254.695 | Velocity Y: 35.379
Filtered X: 46.852 | Filtered Y: -23.951 || Velocity X: -183.210 | Velocity Y: 139.385
normal X: 44.793 | normal Y: -24.871 || Velocity X: -206.641 | Velocity Y: 94.345
Filtered X: 42.459 | Filtered Y: -21.410 || Velocity X: -204.795 | Velocity Y: 132.087
normal X: 41.525 | normal Y: -21.726 || Velocity X: -163.390 | Velocity Y: 157.241
Filtered X: 38.274 | Filtered Y: -18.859 || Velocity X: -207.416 | Velocity Y: 129.415
normal X: 38.161 | normal Y: -18.974 || Velocity X: -168.196 | Velocity Y: 137.585
Filtered X: 34.125 | Filtered Y: -17.042 || Velocity X: -207.440 | Velocity Y: 106.565
normal X: 34.124 | normal Y: -18.031 || Velocity X: -201.836 | Velocity Y: 47.173
Filtered X: 30.025 | Filtered Y: -15.452 || Velocity X: -205.998 | Velocity Y: 90.560
normal X: 30.087 | normal Y: -16.144 || Velocity X: -201.834 | Velocity Y: 94.345
Filtered X: 26.011 | Filtered Y: -14.221 || Velocity X: -202.860 | Velocity Y: 73.370
normal X: 26.147 | normal Y: -14.965 || Velocity X: -197.028 | Velocity Y: 58.966
Filtered X: 22.444 | Filtered Y: -13.447 || Velocity X: -188.356 | Velocity Y: 52.834
normal X: 23.071 | normal Y: -14.336 || Velocity X: -153.780 | Velocity Y: 31.448
Filtered X: 19.128 | Filtered Y: -12.830 || Velocity X: -174.978 | Velocity Y: 39.831
normal X: 19.707 | normal Y: -13.392 || Velocity X: -168.195 | Velocity Y: 47.172
Filtered X: 15.816 | Filtered Y: -12.560 || Velocity X: -169.447 | Velocity Y: 24.230
normal X: 16.055 | normal Y: -13.235 || Velocity X: -182.613 | Velocity Y: 7.862
Filtered X: 12.206 | Filtered Y: -12.067 || Velocity X: -175.996 | Velocity Y: 24.486
normal X: 11.922 | normal Y: -12.056 || Velocity X: -206.641 | Velocity Y: 58.966
Filtered X: 8.419 | Filtered Y: -11.994 || Velocity X: -183.886 | Velocity Y: 12.150
normal X: 8.078 | normal Y: -12.527 || Velocity X: -192.223 | Velocity Y: -23.587
Filtered X: 4.898 | Filtered Y: -12.505 || Velocity X: -179.254 | Velocity Y: -10.178
normal X: 5.098 | normal Y: -13.471 || Velocity X: -148.973 | Velocity Y: -47.173
Filtered X: 1.835 | Filtered Y: -13.181 || Velocity X: -163.802 | Velocity Y: -24.156
normal X: 2.503 | normal Y: -13.785 || Velocity X: -129.751 | Velocity Y: -15.724
Filtered X: -1.440 | Filtered Y: -14.269 || Velocity X: -163.750 | Velocity Y: -42.063
normal X: -1.437 | normal Y: -15.043 || Velocity X: -197.030 | Velocity Y: -62.896
Filtered X: -4.120 | Filtered Y: -14.633 || Velocity X: -146.162 | Velocity Y: -27.934
normal X: -3.360 | normal Y: -14.021 || Velocity X: -96.112 | Velocity Y: 51.104
Filtered X: -6.482 | Filtered Y: -14.989 || Velocity X: -129.530 | Velocity Y: -21.932
normal X: -5.762 | normal Y: -14.729 || Velocity X: -120.139 | Velocity Y: -35.379
